cliente_id,nome,email,telefone,cidade,estado,cep,data_cadastro
1,Cliente 1 ,cliente1@email.com,(71)99999-9999,Salvador,Bahia,40000000,29/08/2024
2, Cliente 2,cliente1@email.com,(71)99999-9999,Feira de Santana,bahia,40000-000,22/12/2024
3,Cliente 3 ,cliente3@email.com,71999999999,Salvador ,BA,40000-000,2024-01-14
4,Cliente 4 ,cliente4@email.com,(71)99999-9999,Salvador,bahia,40000-000,26/01/2025
5,Cliente 5 ,cliente5@email.com,71 99999-9999,SALVADOR,Bahia,40000000,2025-04-19
6,Cliente 6 ,cliente6@email.com,71999999999,SALVADOR,bahia,40000000,02/03/2024
7,Cliente 7 ,cliente7@email.com,(71)99999-9999,feira de santana,bahia,40000-000,04/06/2024
8,Cliente 8 ,cliente8@email.com,71 99999-9999,Feira de Santana,bahia,40000-000,2024-09-02
9,Cliente 9 ,cliente9@email.com,(71)99999-9999,feira de santana,bahia,40000000,14/02/2024
10,Cliente 10 ,cliente10@email.com,(71)99999-9999,Salvador ,Bahia,40000-000,2024-08-28
11,Cliente 11 ,cliente11@email.com,71 99999-9999,Feira de Santana,bahia,40000-000,2024-03-27
12,Cliente 12 ,cliente12@email.com,71 99999-9999,SALVADOR,Bahia,40000000,02/05/2025
13,Cliente 13 ,cliente13@email.com,71 99999-9999,Salvador,Bahia,40000-000,2024-09-22
14, Cliente 14,cliente14@email.com,71 99999-9999,feira de santana,BA,40000000,05/09/2024
15, Cliente 15,cliente15@email.com,71 99999-9999,Salvador ,Bahia,40000-000,2025-02-15
16,Cliente 16 ,cliente16@email.com,71999999999,feira de santana,Bahia,40000-000,2025-03-06
17, Cliente 17,cliente16@email.com,(71)99999-9999,SALVADOR,Bahia,40000-000,2025-02-12
18, Cliente 18,cliente18@email.com,71 99999-9999,SALVADOR,bahia,40000000,27/11/2024
19,Cliente 19 ,cliente19@email.com,71999999999,Salvador ,Bahia,40000000,2024-08-03
20,Cliente 20 ,cliente20@email.com,71999999999,feira de santana,Bahia,40000-000,2024-04-25
21, Cliente 21,cliente21@email.com,(71)99999-9999,feira de santana,bahia,40000000,2024-10-05
22,Cliente 22 ,cliente22@email.com,(71)99999-9999,SALVADOR,bahia,40000-000,21/07/2024
23,Cliente 23 ,cliente23@email.com,71999999999,SALVADOR,BA,40000000,2024-02-06
24,Cliente 24 ,cliente24@email.com,(71)99999-9999,feira de santana,Bahia,40000-000,2024-01-05
25,Cliente 25 ,cliente25@email.com,(71)99999-9999,SALVADOR,bahia,40000-000,2024-07-12
26,Cliente 26 ,cliente26@email.com,(71)99999-9999,feira de santana,BA,40000000,23/02/2024
27,Cliente 27 ,cliente27@email.com,(71)99999-9999,Salvador ,BA,40000-000,12/04/2024
28,Cliente 28 ,cliente28@email.com,(71)99999-9999,SALVADOR,Bahia,40000-000,04/03/2025
29,Cliente 29 ,cliente29@email.com,71 99999-9999,feira de santana,Bahia,40000-000,2024-02-03
30,Cliente 30 ,cliente30@email.com,71999999999,Salvador ,Bahia,40000000,07/07/2024
31,Cliente 31 ,cliente31@email.com,71 99999-9999,Feira de Santana,BA,40000-000,2024-06-13
32,Cliente 32 ,cliente32@email.com,71999999999,SALVADOR,Bahia,40000-000,10/11/2024
33,Cliente 33 ,cliente33@email.com,(71)99999-9999,Salvador ,Bahia,40000-000,22/08/2024
34, Cliente 34,cliente34@email.com,71 99999-9999,Salvador,BA,40000000,2024-02-28
35,Cliente 35 ,cliente35@email.com,71999999999,Salvador,Bahia,40000-000,2024-12-14
36,Cliente 36 ,cliente36@email.com,(71)99999-9999,feira de santana,Bahia,40000000,30/12/2024
37,Cliente 37 ,cliente37@email.com,71999999999,Salvador,Bahia,40000000,18/08/2024
38, Cliente 38,cliente38@email.com,71 99999-9999,Feira de Santana,BA,40000000,20/04/2024
39,Cliente 39 ,cliente39@email.com,(71)99999-9999,SALVADOR,BA,40000000,11/02/2024
40,Cliente 40 ,cliente40@email.com,71 99999-9999,Salvador ,BA,40000000,09/05/2025
41,Cliente 41 ,cliente41@email.com,71 99999-9999,Salvador ,BA,40000000,2024-02-21
42, Cliente 42,cliente42@email.com,71999999999,Salvador ,bahia,40000-000,2025-01-08
43, Cliente 43,cliente43@email.com,(71)99999-9999,Feira de Santana,Bahia,40000-000,21/02/2024
44,Cliente 44 ,cliente44@email.com,71999999999,SALVADOR,Bahia,40000000,24/02/2024
45,Cliente 45 ,cliente45@email.com,71 99999-9999,Salvador,Bahia,40000-000,01/04/2024
46,Cliente 46 ,cliente46@email.com,71 99999-9999,SALVADOR,Bahia,40000-000,15/12/2024
47,Cliente 47 ,cliente47@email.com,71 99999-9999,Feira de Santana,BA,40000000,04/03/2025
48,Cliente 48 ,cliente48@email.com,(71)99999-9999,feira de santana,BA,40000-000,20/12/2024
49,Cliente 49 ,cliente49@email.com,(71)99999-9999,Feira de Santana,bahia,40000000,2024-03-29
50, Cliente 50,cliente50@email.com,71 99999-9999,Feira de Santana,bahia,40000-000,02/05/2024
51,Cliente 51 ,cliente51@email.com,(71)99999-9999,Salvador ,bahia,40000000,2025-05-12
52, Cliente 52,cliente52@email.com,(71)99999-9999,SALVADOR,bahia,40000-000,08/06/2024
53,Cliente 53 ,cliente53@email.com,71 99999-9999,Feira de Santana,bahia,40000-000,2025-03-14
54,Cliente 54 ,cliente54@email.com,71999999999,SALVADOR,Bahia,40000000,2024-04-21
55,Cliente 55 ,cliente55@email.com,(71)99999-9999,feira de santana,BA,40000-000,2024-09-25
56,Cliente 56 ,cliente56@email.com,71999999999,SALVADOR,bahia,40000-000,2024-08-15
57,Cliente 57 ,cliente57@email.com,(71)99999-9999,Feira de Santana,BA,40000000,2024-08-12
58,Cliente 58 ,cliente58@email.com,(71)99999-9999,feira de santana,bahia,40000000,2025-04-10
59,Cliente 59 ,cliente59@email.com,71 99999-9999,Salvador,BA,40000000,2024-10-23
60,Cliente 60 ,cliente60@email.com,(71)99999-9999,SALVADOR,BA,40000000,2024-03-16
61,Cliente 61 ,cliente61@email.com,71 99999-9999,Feira de Santana,BA,40000000,08/09/2024
62,Cliente 62 ,cliente62@email.com,(71)99999-9999,SALVADOR,Bahia,40000-000,2025-04-07
63,Cliente 63 ,cliente63@email.com,71 99999-9999,SALVADOR,BA,40000000,20/10/2024
64,Cliente 64 ,cliente64@email.com,(71)99999-9999,Salvador,BA,40000000,02/01/2025
65,Cliente 65 ,cliente65@email.com,71 99999-9999,feira de santana,Bahia,40000-000,27/11/2024
66,Cliente 66 ,cliente66@email.com,71 99999-9999,feira de santana,bahia,40000-000,17/04/2025
67,Cliente 67 ,cliente67@email.com,71 99999-9999,Salvador ,bahia,40000-000,2024-08-18
68, Cliente 68,cliente68@email.com,(71)99999-9999,Feira de Santana,Bahia,40000-000,2024-09-09
69,Cliente 69 ,cliente69@email.com,(71)99999-9999,SALVADOR,bahia,40000000,04/02/2025
70,Cliente 70 ,cliente70@email.com,71 99999-9999,Salvador,Bahia,40000000,12/02/2025
71,Cliente 71 ,cliente71@email.com,(71)99999-9999,Feira de Santana,BA,40000000,2024-09-18
72, Cliente 72,cliente72@email.com,71999999999,Salvador ,BA,40000000,2024-01-11
73,Cliente 73 ,cliente73@email.com,(71)99999-9999,Salvador ,bahia,40000000,2024-04-16
74,Cliente 74 ,cliente74@email.com,71 99999-9999,feira de santana,bahia,40000000,2024-08-27
75,Cliente 75 ,cliente75@email.com,71 99999-9999,Salvador ,Bahia,40000-000,19/07/2024
76,Cliente 76 ,cliente76@email.com,(71)99999-9999,SALVADOR,Bahia,40000-000,2025-03-08
77,Cliente 77 ,cliente77@email.com,(71)99999-9999,SALVADOR,Bahia,40000-000,2024-02-07
78,Cliente 78 ,cliente78@email.com,71 99999-9999,SALVADOR,bahia,40000000,2024-08-23
79,Cliente 79 ,cliente79@email.com,(71)99999-9999,Salvador ,Bahia,40000-000,2024-02-29
80,Cliente 80 ,cliente80@email.com,(71)99999-9999,Salvador ,Bahia,40000-000,2025-05-04
81,Cliente 81 ,cliente80@email.com,71999999999,Salvador,Bahia,40000000,24/06/2024
82,Cliente 82 ,cliente82@email.com,(71)99999-9999,SALVADOR,Bahia,40000000,2024-07-12
